ip,link_status,name,port_id,port_status,switch_present,wwnn,wwpn
10.128.205.99,Up,A,10,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:62:3B:24:0C:83
10.128.205.99,Up,A,0,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:60:3B:20:0C:83
10.128.205.99,Up,A,9,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:61:3B:24:0C:83
10.128.205.99,Up,A,1,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:61:3B:20:0C:83
10.128.205.99,Up,A,8,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:60:3B:24:0C:83
10.128.205.99,Down,A,7,DISABLED,NO,50:06:01:60:BB:20:0C:83,50:06:01:67:3B:20:0C:83
10.128.205.99,Up,A,6,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:66:3B:20:0C:83
10.128.205.99,Up,A,2,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:62:3B:20:0C:83
10.128.205.99,Up,A,5,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:65:3B:20:0C:83
10.128.205.99,Up,A,3,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:63:3B:20:0C:83
10.128.205.99,Up,A,4,Online,YES,50:06:01:60:BB:20:0C:83,50:06:01:64:3B:20:0C:83
10.128.205.99,Down,B,12,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104002311.b12
10.128.205.99,Down,B,13,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104002311.b13
10.128.205.99,Down,A,12,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104002311.a12
10.128.205.99,Down,A,13,Online,"Not Applicable",iqn.1992-04.com.emc,cx.apm00104002311.a13
10.16.24.130,Up,A,0,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:60:39:A0:12:32
10.16.24.130,Up,A,1,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:61:39:A0:12:32
10.16.24.130,Up,A,2,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:62:39:A0:12:32
10.16.24.130,Up,A,3,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:63:39:A0:12:32
10.16.24.130,Up,B,0,Online,YES,50:06:01:60:B9:A0:12:32,50:06:01:68:39:A0:12:32
