ip,port,name
10.113.160.77,9704,pri-http-pool
10.16.67.128,3268,sc9-ad-3268-pool
10.16.69.62,3268,sc9-ad-3268-pool
10.113.60.176,3268,sc9-ad-3268-pool
10.113.61.106,3268,sc9-ad-3268-pool
10.113.60.4,3268,sc9-ad-3268-pool
10.113.60.14,3268,sc9-ad-3268-pool
10.113.60.18,3268,sc9-ad-3268-pool
10.113.60.19,3268,sc9-ad-3268-pool
10.113.161.162,80,vmweb-pool
10.113.161.163,80,vmweb-pool
10.113.161.164,80,vmweb-pool
10.113.161.165,80,vmweb-pool
10.16.67.128,3269,sc9-ad-3269-pool
10.16.69.62,3269,sc9-ad-3269-pool
10.113.60.176,3269,sc9-ad-3269-pool
10.113.61.106,3269,sc9-ad-3269-pool
10.113.60.4,3269,sc9-ad-3269-pool
10.113.60.14,3269,sc9-ad-3269-pool
10.113.60.18,3269,sc9-ad-3269-pool
10.113.60.19,3269,sc9-ad-3269-pool
10.16.67.128,389,sc9-ad-389-pool
10.16.69.62,389,sc9-ad-389-pool
10.113.60.176,389,sc9-ad-389-pool
10.113.61.106,389,sc9-ad-389-pool
10.113.60.4,389,sc9-ad-389-pool
10.113.60.14,389,sc9-ad-389-pool
10.113.60.18,389,sc9-ad-389-pool
10.113.60.19,389,sc9-ad-389-pool
10.16.67.128,636,sc9-ad-636-pool
10.16.69.62,636,sc9-ad-636-pool
10.113.60.176,636,sc9-ad-636-pool
10.113.61.106,636,sc9-ad-636-pool
10.113.60.4,636,sc9-ad-636-pool
10.113.60.14,636,sc9-ad-636-pool
10.113.60.18,636,sc9-ad-636-pool
10.113.60.19,636,sc9-ad-636-pool
10.113.161.144,443,vmshare-ssl-pool
10.113.161.145,443,vmshare-ssl-pool
10.113.161.146,443,vmshare-ssl-pool
10.113.61.162,80,zimbra-prod-proxy-pool
10.113.61.163,80,zimbra-prod-proxy-pool
10.113.163.67,80,zimbra-prod-proxy-pool
10.113.163.68,80,zimbra-prod-proxy-pool
10.113.61.162,993,zimbra-prod-proxy-993-pool
10.113.61.163,993,zimbra-prod-proxy-993-pool
10.113.163.67,993,zimbra-prod-proxy-993-pool
10.113.163.68,993,zimbra-prod-proxy-993-pool
10.113.61.162,110,zimbra-prod-proxy-110-pool
10.113.61.163,110,zimbra-prod-proxy-110-pool
10.113.163.67,110,zimbra-prod-proxy-110-pool
10.113.163.68,110,zimbra-prod-proxy-110-pool
10.113.61.162,80,zimbra-prod-proxy-pool
10.113.61.163,80,zimbra-prod-proxy-pool
10.113.163.67,80,zimbra-prod-proxy-pool
10.113.163.68,80,zimbra-prod-proxy-pool
10.113.61.162,110,zimbra-prod-proxy-110-pool
10.113.61.163,110,zimbra-prod-proxy-110-pool
10.113.163.67,110,zimbra-prod-proxy-110-pool
10.113.163.68,110,zimbra-prod-proxy-110-pool
10.113.61.162,143,zimbra-prod-proxy-143-pool
10.113.61.163,143,zimbra-prod-proxy-143-pool
10.113.163.67,143,zimbra-prod-proxy-143-pool
10.113.163.68,143,zimbra-prod-proxy-143-pool
10.113.190.5,80,SC09-OWA-pool
10.113.190.6,80,SC09-OWA-pool
10.113.190.7,80,SC09-OWA-pool
10.113.190.8,80,SC09-OWA-pool
10.113.190.9,80,SC09-OWA-pool
10.113.190.10,80,SC09-OWA-pool
10.113.190.25,80,SC09-OWA-pool
10.113.190.26,80,SC09-OWA-pool
10.113.190.27,80,SC09-OWA-pool
10.113.190.28,80,SC09-OWA-pool
10.113.76.165,8381,s2-prod-websvc3-pool
10.113.76.166,8381,s2-prod-websvc3-pool
10.113.14.25,8000,oracleapps-stage-pool
10.113.14.26,8000,oracleapps-stage-pool
10.113.14.27,8000,oracleapps-stage-pool
10.113.14.28,8000,oracleapps-stage-pool
10.113.14.29,8000,oracleapps-stage-pool
10.113.14.30,8000,oracleapps-stage-pool
10.113.14.31,8000,oracleapps-stage-pool
10.113.190.5,143,SC09-OWA-imap4-pool
10.113.190.6,143,SC09-OWA-imap4-pool
10.113.190.7,143,SC09-OWA-imap4-pool
10.113.190.8,143,SC09-OWA-imap4-pool
10.113.190.9,143,SC09-OWA-imap4-pool
10.113.190.10,143,SC09-OWA-imap4-pool
10.113.190.25,143,SC09-OWA-imap4-pool
10.113.190.26,143,SC09-OWA-imap4-pool
10.113.190.27,143,SC09-OWA-imap4-pool
10.113.190.28,143,SC09-OWA-imap4-pool
10.113.14.39,8000,oraclereport-apps-stage-pool
10.113.14.40,8000,oraclereport-apps-stage-pool
10.113.14.41,8000,oraclereport-apps-stage-pool
10.113.68.173,8000,oraclereport-apps-stage-pool
10.113.68.174,8000,oraclereport-apps-stage-pool
10.113.68.175,8000,oraclereport-apps-stage-pool
10.113.190.5,110,SC09-OWA-pop3-pool
10.113.190.6,110,SC09-OWA-pop3-pool
10.113.190.7,110,SC09-OWA-pop3-pool
10.113.190.8,110,SC09-OWA-pop3-pool
10.113.190.9,110,SC09-OWA-pop3-pool
10.113.190.10,110,SC09-OWA-pop3-pool
10.113.190.25,110,SC09-OWA-pop3-pool
10.113.190.26,110,SC09-OWA-pop3-pool
10.113.190.27,110,SC09-OWA-pop3-pool
10.113.190.28,110,SC09-OWA-pop3-pool
10.113.180.100,3269,zimbra-ad-3269-pool
10.113.180.101,3269,zimbra-ad-3269-pool
10.113.60.18,3269,zimbra-ad-3269-pool
10.113.60.19,3269,zimbra-ad-3269-pool
10.113.163.3,443,view-ssl-pool
10.113.163.4,443,view-ssl-pool
10.113.161.211,3128,sc9-proxy-pool
10.113.161.212,3128,sc9-proxy-pool
10.113.161.213,3128,sc9-proxy-pool
10.113.161.214,3128,sc9-proxy-pool
10.113.161.215,3128,sc9-proxy-pool
10.113.161.216,3128,sc9-proxy-pool
10.113.161.217,3128,sc9-proxy-pool
10.113.163.13,80,at-view-http-pool
10.113.163.14,80,at-view-http-pool
10.113.163.13,443,at-view-ssl-pool
10.113.163.14,443,at-view-ssl-pool
10.113.190.5,143,SC09-OWA-imap4-pool
10.113.190.6,143,SC09-OWA-imap4-pool
