vendor	model	versiontype	version
vmware	vm	tools version	8194(toolsOk)
vmware	vm	tools version	8194(toolsOld)
vmware	vm	tools version	8195(toolsNotRunning)
vmware	vm	tools version	8195(toolsOld)
vmware	vm	tools version	8290()
vmware	vm	tools version	8290(toolsNotRunning)
vmware	vm	tools version	8290(toolsOld)
vmware	vm	tools version	8295(toolsNotRunning)
vmware	vm	tools version	8295(toolsOk)
vmware	vm	tools version	8295(toolsOld)
vmware	vm	tools version	8353(toolsNotRunning)
vmware	vm	tools version	8353(toolsOld)
vmware	vm	tools version	8384(toolsNotRunning)
vmware	vm	tools version	8384(toolsOk)
